numQuestion,theme,difficulte,question,prop1,prop2,prop3,prop4,reponse
1,Mathématiques,1,Quelle est la somme de 2 et 3 ?,4,5,6,3,2
2,Français,1,Comment s'appelle la capitale de la France ?,Paris,Marseille,Lyon,Toulouse,0
3,Mathématiques,2,Quel est le résultat de 12 - 7 ?,5,6,4,3,1
4,Français,2,Complétez la phrase : Le chat est ___.,"noir","blanc","gros","rapide",0
5,Histoire,3,Qui a écrit 'Les Misérables' ?,Balzac,Hugo,Flaubert,Zola,1
6,Mathématiques,3,Combien font 8 x 7 ?,56,48,45,60,0
7,Géographie,1,Où se trouve la Tour Eiffel ?,Paris,Londres,New York,Tokyo,0
8,Français,2,Quel est le féminin de "acteur" ?,Actrice,Auteure,Auteur,Comédienne,0
9,Science,1,Quel est l'organe qui pompe le sang dans le corps humain ?,Cœur,Poumons,Foie,Rein,0
10,Histoire,2,Qui était Napoléon Bonaparte ?,Un général,Un scientifique,Un roi,Un écrivain,0
